datetime,nama_pos,tma_mdpl
2023-01-01 06:00:00,Arjowinangun - Pacitan,1.3
2023-01-01 12:00:00,Arjowinangun - Pacitan,1.2
2023-01-01 18:00:00,Arjowinangun - Pacitan,1.5
2023-01-02 06:00:00,Arjowinangun - Pacitan,1.45
2023-01-02 12:00:00,Arjowinangun - Pacitan,1.25
2023-01-02 18:00:00,Arjowinangun - Pacitan,1.6
2023-01-03 06:00:00,Arjowinangun - Pacitan,1.1
2023-01-03 12:00:00,Arjowinangun - Pacitan,1.15
2023-01-03 18:00:00,Arjowinangun - Pacitan,1.6
2023-01-04 06:00:00,Arjowinangun - Pacitan,1.1
2023-01-04 12:00:00,Arjowinangun - Pacitan,1.05
2023-01-04 18:00:00,Arjowinangun - Pacitan,1.5
2023-01-05 06:00:00,Arjowinangun - Pacitan,1.1
2023-01-05 12:00:00,Arjowinangun - Pacitan,1.15
2023-01-05 18:00:00,Arjowinangun - Pacitan,1.35
2023-01-06 06:00:00,Arjowinangun - Pacitan,1.0664465916785104
2023-01-06 12:00:00,Arjowinangun - Pacitan,1.15
2023-01-06 18:00:00,Arjowinangun - Pacitan,1.55
2023-01-07 06:00:00,Arjowinangun - Pacitan,1.165771579078886
2023-01-07 12:00:00,Arjowinangun - Pacitan,1.2
2023-01-07 18:00:00,Arjowinangun - Pacitan,1.05
2023-01-08 06:00:00,Arjowinangun - Pacitan,0.95
2023-01-08 12:00:00,Arjowinangun - Pacitan,1.1
2023-01-08 18:00:00,Arjowinangun - Pacitan,0.95
2023-01-09 06:00:00,Arjowinangun - Pacitan,0.85
2023-01-09 12:00:00,Arjowinangun - Pacitan,1.2
2023-01-09 18:00:00,Arjowinangun - Pacitan,0.85
2023-01-10 06:00:00,Arjowinangun - Pacitan,0.8875310149732629
2023-01-10 12:00:00,Arjowinangun - Pacitan,1.15
2023-01-10 18:00:00,Arjowinangun - Pacitan,0.85
2023-01-11 06:00:00,Arjowinangun - Pacitan,1.05
2023-01-11 12:00:00,Arjowinangun - Pacitan,1.35
2023-01-11 18:00:00,Arjowinangun - Pacitan,1.0
2023-01-12 06:00:00,Arjowinangun - Pacitan,0.95
2023-01-12 12:00:00,Arjowinangun - Pacitan,1.25
2023-01-12 18:00:00,Arjowinangun - Pacitan,0.85
2023-01-13 06:00:00,Arjowinangun - Pacitan,0.8
2023-01-13 12:00:00,Arjowinangun - Pacitan,1.1
2023-01-13 18:00:00,Arjowinangun - Pacitan,0.85
2023-01-14 06:00:00,Arjowinangun - Pacitan,0.75
2023-01-14 12:00:00,Arjowinangun - Pacitan,1.2018068599619545
2023-01-14 18:00:00,Arjowinangun - Pacitan,0.85
2023-01-15 06:00:00,Arjowinangun - Pacitan,0.85
2023-01-15 12:00:00,Arjowinangun - Pacitan,1.05
2023-01-15 18:00:00,Arjowinangun - Pacitan,0.9
2023-01-16 06:00:00,Arjowinangun - Pacitan,0.8
2023-01-16 12:00:00,Arjowinangun - Pacitan,0.85
2023-01-16 18:00:00,Arjowinangun - Pacitan,1.0
2023-01-17 06:00:00,Arjowinangun - Pacitan,0.95
2023-01-17 12:00:00,Arjowinangun - Pacitan,0.9
2023-01-17 18:00:00,Arjowinangun - Pacitan,1.15
2023-01-18 06:00:00,Arjowinangun - Pacitan,1.0506545194971242
2023-01-18 12:00:00,Arjowinangun - Pacitan,0.8061123183045165
2023-01-18 18:00:00,Arjowinangun - Pacitan,1.35
2023-01-19 06:00:00,Arjowinangun - Pacitan,0.75
2023-01-19 12:00:00,Arjowinangun - Pacitan,1.0
2023-01-19 18:00:00,Arjowinangun - Pacitan,1.55
2023-01-20 06:00:00,Arjowinangun - Pacitan,0.85
2023-01-20 12:00:00,Arjowinangun - Pacitan,0.9
2023-01-20 18:00:00,Arjowinangun - Pacitan,1.4173457834846244
2023-01-21 06:00:00,Arjowinangun - Pacitan,0.8
2023-01-21 12:00:00,Arjowinangun - Pacitan,0.95
2023-01-21 18:00:00,Arjowinangun - Pacitan,1.3091783554978953
2023-01-22 06:00:00,Arjowinangun - Pacitan,0.9
2023-01-22 12:00:00,Arjowinangun - Pacitan,1.0
